iter	Passed	Remaining
0	158	79119
1	173	43087
2	187	31096
3	202	25120
4	217	21573
5	232	19161
6	247	17459
7	262	16174
8	279	15266
9	295	14457
10	310	13801
11	328	13345
12	347	13024
13	362	12573
14	378	12226
15	391	11855
16	406	11546
17	422	11316
18	440	11139
19	457	10973
20	473	10796
21	490	10658
22	508	10555
23	526	10448
24	548	10415
25	565	10303
26	583	10213
27	600	10126
28	618	10040
29	636	9966
30	652	9867
31	669	9790
32	686	9719
33	704	9652
34	719	9559
35	734	9472
36	751	9399
37	766	9313
38	781	9237
39	794	9138
40	809	9065
41	824	8986
42	838	8908
43	852	8839
44	867	8772
45	882	8709
46	897	8647
47	912	8594
48	927	8534
49	941	8476
50	955	8416
51	971	8365
52	985	8308
53	1000	8266
54	1016	8220
55	1032	8189
56	1048	8148
57	1063	8107
58	1078	8059
59	1094	8023
60	1126	8105
61	1192	8425
62	1218	8452
63	1239	8444
64	1260	8432
65	1278	8404
66	1296	8380
67	1316	8361
68	1335	8340
69	1352	8310
70	1370	8280
71	1385	8233
72	1402	8206
73	1417	8159
74	1432	8116
75	1445	8066
76	1459	8016
77	1474	7977
78	1488	7931
79	1504	7900
80	1520	7863
81	1535	7825
82	1549	7785
83	1563	7742
84	1577	7703
85	1592	7665
86	1606	7625
87	1618	7579
88	1632	7537
89	1644	7489
90	1655	7442
91	1670	7406
92	1682	7361
93	1694	7318
94	1705	7272
95	1717	7229
96	1730	7188
97	1742	7146
98	1754	7107
99	1767	7070
100	1781	7036
101	1795	7004
102	1808	6972
103	1823	6944
104	1837	6914
105	1852	6884
106	1868	6861
107	1883	6836
108	1899	6813
109	1915	6789
110	1930	6764
111	1945	6738
112	1961	6718
113	1977	6694
114	1993	6675
115	2008	6650
116	2024	6625
117	2039	6602
118	2055	6580
119	2069	6554
120	2084	6529
121	2101	6509
122	2115	6485
123	2131	6463
124	2145	6436
125	2159	6410
126	2173	6383
127	2186	6355
128	2200	6328
129	2215	6305
130	2229	6279
131	2242	6252
132	2256	6226
133	2271	6204
134	2286	6181
135	2300	6157
136	2315	6135
137	2329	6111
138	2344	6089
139	2360	6068
140	2374	6046
141	2391	6030
142	2408	6013
143	2426	5998
144	2442	5978
145	2458	5960
146	2475	5944
147	2493	5929
148	2508	5909
149	2524	5891
150	2540	5871
151	2556	5852
152	2570	5829
153	2584	5806
154	2598	5784
155	2613	5763
156	2628	5741
157	2641	5718
158	2655	5696
159	2670	5674
160	2684	5651
161	2696	5626
162	2709	5601
163	2722	5578
164	2735	5554
165	2749	5532
166	2764	5511
167	2776	5487
168	2790	5466
169	2804	5443
170	2816	5419
171	2829	5396
172	2841	5371
173	2853	5346
174	2867	5325
175	2880	5303
176	2894	5282
177	2909	5263
178	2924	5243
179	2938	5223
180	2954	5207
181	2970	5190
182	2986	5172
183	3002	5155
184	3016	5135
185	3030	5115
186	3044	5095
187	3058	5075
188	3071	5054
189	3085	5034
190	3099	5014
191	3114	4996
192	3130	4980
193	3145	4960
194	3158	4940
195	3172	4921
196	3188	4903
197	3202	4885
198	3218	4867
199	3231	4846
200	3245	4828
201	3260	4810
202	3276	4794
203	3290	4775
204	3307	4759
205	3322	4741
206	3337	4723
207	3351	4705
208	3366	4687
209	3381	4670
210	3396	4652
211	3409	4632
212	3424	4614
213	3438	4595
214	3453	4578
215	3469	4562
216	3485	4545
217	3501	4529
218	3517	4512
219	3532	4495
220	3549	4480
221	3565	4465
222	3605	4478
223	3647	4494
224	3672	4488
225	3685	4468
226	3699	4448
227	3714	4431
228	3728	4412
229	3749	4401
230	3764	4384
231	3778	4365
232	3792	4346
233	3807	4328
234	3820	4308
235	3834	4289
236	3849	4272
237	3865	4254
238	3880	4237
239	3894	4218
240	3907	4199
241	3922	4181
242	3936	4163
243	3950	4145
244	3964	4126
245	3978	4107
246	3991	4088
247	4005	4070
248	4020	4052
249	4035	4035
250	4050	4018
251	4067	4002
252	4083	3986
253	4100	3970
254	4116	3955
255	4131	3938
256	4147	3921
257	4161	3903
258	4175	3885
259	4188	3866
260	4202	3848
261	4215	3829
262	4230	3811
263	4242	3792
264	4256	3774
265	4270	3756
266	4284	3739
267	4299	3721
268	4313	3704
269	4328	3687
270	4343	3670
271	4356	3652
272	4370	3634
273	4385	3616
274	4398	3598
275	4412	3580
276	4426	3563
277	4442	3547
278	4457	3530
279	4471	3513
280	4487	3497
281	4501	3480
282	4517	3464
283	4534	3448
284	4549	3431
285	4567	3417
286	4582	3400
287	4598	3385
288	4614	3369
289	4629	3352
290	4642	3334
291	4657	3317
292	4671	3300
293	4686	3283
294	4700	3266
295	4713	3248
296	4728	3232
297	4742	3214
298	4755	3196
299	4769	3179
300	4783	3162
301	4801	3147
302	4816	3131
303	4833	3116
304	4847	3099
305	4863	3083
306	4877	3066
307	4891	3049
308	4906	3032
309	4922	3017
310	4936	2999
311	4948	2982
312	4962	2964
313	4976	2947
314	4990	2930
